127.0.0.1 - - [09/Apr/2025:10:00:07 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:00:08 +0530] "GET /EcommerceProject/ HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:00:08 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:00:55 +0530] "GET /EcommerceProject/Login.jsp HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:00:55 +0530] "GET /EcommerceProject/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:00:55 +0530] "GET /EcommerceProject/img/hero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:03 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:28 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:29 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:30 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:30 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:31 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:31 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:31 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:31 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:01:36 +0530] "GET /EcommerceProject/Register.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:33 +0530] "POST /EcommerceProject/regUser.jsp HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:38 +0530] "GET /EcommerceProject/Login.jsp HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:41 +0530] "POST /EcommerceProject/loginUser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:41 +0530] "GET /EcommerceProject/index.jsp HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:47 +0530] "GET /EcommerceProject/productDetails.jsp?pid=1 HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:49 +0530] "GET /EcommerceProject/productDetails.jsp?pid=1 HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:02:50 +0530] "GET /EcommerceProject/productDetails.jsp?pid=1 HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:13:57 +0530] "GET /EcommerceProject/Cart.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:14:01 +0530] "GET /EcommerceProject/productDetails.jsp?pid=2 HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:14:03 +0530] "GET /EcommerceProject/productDetails.jsp?pid=2 HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:14:04 +0530] "GET /EcommerceProject/productDetails.jsp?pid=2 HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [09/Apr/2025:10:14:36 +0530] "GET /EcommerceProject/productDetails.jsp?pid=2 HTTP/1.1" 200 2390
